file, datetime, full string, float conversion attemptFLIR10000.jpg, 2022:09:23 09:56:18, 223 *
, ['2', '4', '4']FLIR10309.jpg, 2022:09:23 11:13:34, 244%
, ['2', '4', '4']FLIR10310.jpg, 2022:09:23 11:13:48, 245
, ['2', '4', '5']FLIR10311.jpg, 2022:09:23 11:14:04, 245
, ['2', '4', '5']FLIR10312.jpg, 2022:09:23 11:14:18, 245
, ['2', '4', '5']FLIR10313.jpg, 2022:09:23 11:14:34, 244%
, ['2', '4', '4']FLIR10314.jpg, 2022:09:23 11:14:48, 244%
, ['2', '4', '4']FLIR10315.jpg, 2022:09:23 11:15:09, 245
, ['2', '4', '5']FLIR10316.jpg, 2022:09:23 11:15:18, 244%
, ['2', '4', '4']FLIR10317.jpg, 2022:09:23 11:15:34, 243 F
, ['2', '4', '3']FLIR10318.jpg, 2022:09:23 11:15:49, 242 *
, ['2', '4', '2']FLIR10319.jpg, 2022:09:23 11:16:04, 243 F
, ['2', '4', '3']FLIR10320.jpg, 2022:09:23 11:16:18, 242 *
, ['2', '4', '2']FLIR10321.jpg, 2022:09:23 11:16:34, 241 F
, ['2', '4', '1']FLIR10322.jpg, 2022:09:23 11:16:49, 242 *
, ['2', '4', '2']FLIR10323.jpg, 2022:09:23 11:17:03, 242 *
, ['2', '4', '2']FLIR10324.jpg, 2022:09:23 11:17:19, 241 F
, ['2', '4', '1']FLIR10325.jpg, 2022:09:23 11:17:33, 238
, ['2', '3', '8']FLIR10326.jpg, 2022:09:23 11:17:49, 238
, ['2', '3', '8']FLIR10327.jpg, 2022:09:23 11:18:03, 237
, ['2', '3', '7']FLIR10328.jpg, 2022:09:23 11:18:19, 236
, ['2', '3', '6']FLIR10329.jpg, 2022:09:23 11:18:34, 235 +
, ['2', '3', '5']FLIR10330.jpg, 2022:09:23 11:18:49, 235 +
, ['2', '3', '5']FLIR10331.jpg, 2022:09:23 11:19:04, 233
, ['2', '3', '3']FLIR10332.jpg, 2022:09:23 11:19:18, 233
